 3, Nearest Neighbor, Nearest Neighbor - 2-Opt, CPLEX - MIPStart - CallbackBase - CallbackRelax - PostingBase
pr1000-96192207-2024-07-21, 279975.071237, 245155.134646, 230953.787959
pr200-93847516-2024-07-21, 130290.526973, 119310.541683, 110786.723858
pr300-93847516-2024-07-21, 159458.302735, 143585.782493, 133394.069531
pr400-93847516-2024-07-21, 178916.706020, 161177.625182, 152263.233833
pr500-93847516-2024-07-21, 205737.427855, 184120.145222, 170034.985344
pr600-93847516-2024-07-21, 220584.997489, 193993.571875, 183361.810485
pr700-93847516-2024-07-21, 232797.297798, 207139.647969, 195982.711613
pr800-93847516-2024-07-21, 246584.897234, 223429.700931, 209501.712501
