 6, Benders' Loop, Glued Benders' Loop, CPLEX - CallbackBase, CPLEX - CallbackBase - CallbackRelax, CPLEX - CallbackBase - PostingBase, CPLEX - MIPStart - CallbackBase - CallbackRelax - PostingBase
pr700-95964627-2024-07-22, 58.373489, 56.339279, 73.503778, 92.401629, 28.858655, 43.306609
pr700-96072207-2024-07-22, 67.668604, 65.983317, 416.190813, 217.653332, 81.408757, 151.193995
pr700-96182217-2024-07-22, 117.583892, 121.280918, 546.788184, 658.977216, 166.935130, 117.724472
pr700-100728864-2024-07-22, 83.082927, 100.113242, 514.160599, 116.636531, 149.313670, 60.657566
pr700-97719107-2024-07-22, 163.122817, 106.332939, 104.234526, 103.214046, 120.735076, 57.100141
pr800-95964627-2024-07-22, 63.177446, 63.908960, 166.492039, 128.730289, 150.358571, 60.285904
pr800-96072207-2024-07-22, 598.769652, 473.717640, 325.291994, 330.248458, 143.979472, 226.334339
